cNoSc,Customer,Item,TglProduksiTerakhir,StokAwalPc,StokAwalKg,StokAkhirPc,StokAkhirKg,Keterangan
2606/00903,FELINE VICTORIA,BOX ALSHAMANDY 10 KG 39 X 30 X 14 SW,2026-07-08,1500,446.595,1500,446.595,AMBIL SENDIRI
2606/00912,"TJAKRINDO MAS,PT",PK-1632 BOX RAM END 800 X 1500 TT,2026-06-29,120,76.986,120,76.986,
2606/00975,"SUMBER AIR AFIAT, PT",AMDK YJAS 48 X 220 ML,2026-06-28,1080,236.1852,1080,236.1852,SISA CONTAINER
2606/00996,"SIANTAR TOP TBK, PT",DUS GEMEZ ENAAK SMOKED BBQ 28 GR CVS DAIN KOREA KTN/SBQ-CVS/E/24X6/00/KOREA,2026-06-28,1354,707.14004,1354,707.14004,
2606/01015,FELINE VICTORIA,OUT WAX - PT. KIMCI JAYA BERSAUDARA,2026-07-03,420,118.4778,420,118.4778,SISA CONTAINER
2606/01033,"TIRTA MAMBRAMO, PT",AMDK TIRMAS 220,2026-07-07,5340,1154.508,5340,1154.508,SISA CONTAINER
2606/01038,"SUN PAPER SOURCE, PT",03.06.02.0152 CB SP AST 150 S WHITE RIBBON DESAIN BARU,2026-07-26,60,61.9158,60,61.9158,
2606/01045,"BLUE OCEAN FOODS INDONESIA , PT",KARTON BRAND RADIANCE 155 G SARDINE IN TOMATO SAUCE (BROWN CRAFT),2026-06-30,123,22.21011,123,22.21011,LEBIH PRODUKSI
2606/01050,FELINE VICTORIA,BOX CUMI PRODUCT 20 KG PUTIH PRINT F4,2026-07-08,552,399.99576,552,399.99576,SISA CONTAINER
2606/01084,"AVIA AVIAN TBK, PT",DS AVITEX TEMBOK 5 KG AW-07,2026-06-30,310,207.0397,310,207.0397,LEBIH PRODUKSI
2606/01137,"GALAXY PACKINDO, CV",DOS (545 X 175 X 240) SAUCE 25,2026-07-29,1680,552.132,1680,552.132,
2606/01178,"BERKAT SEJAHTERA ERGA JAYA, CV",ERIKO KODE V,2026-07-10,75,195.861,75,195.861,
