SPS/2606/00303-B01,1763.5572000
SPS/2605/00936-B01,1755.5474000
SPS/2606/00150-S01,1751.9650000
SPS/2606/00048-B01,1733.5912000
SPS/2606/00109-B01,1733.5506900
SPS/2605/00868-B01,1723.9926000
SPS/2605/00850-B01,1721.9466000
SPS/2606/00278-B01,1708.2870000
SPS/2606/00142-S01,1708.2165600
SPS/2606/00153-S01,1706.7530000
SPS/2605/01095-B01,1700.2026000
SPS/2604/01454-B02,1699.8000000
SPS/2605/01127-S02,1698.6880000
SPS/2606/00316-B01,1698.4454000
SPS/2604/01460-B01,1698.0480000
SPS/2606/00187-B01,1697.8780000
SPS/2606/00050-B01,1692.4152000
SPS/2605/01113-S01,1689.8512800
SPS/2605/00556-L01,1686.7500000
SPS/2606/00046-B01,1686.5156000
SPS/2606/00287-S01,1684.8006000
SPS/2605/00206-B01,1681.9215000
SPS/2605/00205-B02,1678.8136000
SPS/2605/00915-B01,1677.1564000
SPS/2605/00916-B01,1673.2800000
SPS/2605/01096-B01,1666.6904000
SPS/2605/01005-B01,1664.2806000
SPS/2606/00367-B01,1662.9664000
SPS/2604/00285-B02,1660.9988000
SPS/2605/00938-B01,1656.9250000
SPS/2605/01051-B01,1649.1432000
SPS/2605/00833-S01,1645.7202000
SPS/2605/00999-B01,1642.6800000
SPS/2606/00425-S01,1642.1633000
SPS/2606/00550-B01,1640.1132000
SPS/2606/00111-B01,1639.0846500
SPS/2605/00601-B01,1626.9400000
SPS/2606/00065-B01,1623.8196000
SPS/2605/01024-B01,1619.4024000
SPS/2606/00284-B01,1618.3278000
SPS/2605/00709-B01,1616.4904000
SPS/2605/00757-B01,1616.0550000
SPS/2605/00758-B01,1615.8135000
SPS/2605/01133-S01,1615.0113200
SPS/2605/01169-S01,1611.5814000
SPS/2606/00157-B01,1599.1776000
SPS/2606/00344-S01,1596.2493000
SPS/2605/00972-B01,1586.8292000
SPS/2605/00041-TB01,1586.4000000
SPS/2605/01052-B02,1576.9980000
SPS/2604/00229-B10,1567.7880000
SPS/2606/00202-S01,1567.6762000
SPS/2605/00633-B02,1567.1430000
SPS/2601/00548-B05,1564.0920000
SPS/2606/00399-B01,1562.8800000
SPS/2603/00538-B01,1556.5440000
SPS/2605/01065-B01,1553.3240000
SPS/2604/01216-B02,1539.4988000
SPS/2606/00057-B01,1537.2756000
SPS/2606/00274-B01,1525.1604000
SPS/2606/00223-B01,1524.2370000
SPS/2605/00961-B01,1521.4660000
SPS/2605/00881-B01,1519.9200000
SPS/2604/01316-L01,1518.9330000
SPS/2606/00004-B01,1511.4600000
SPS/2605/01142-B01,1510.2150000
SPS/2605/00603-B01,1501.6656200
SPS/2605/00647-B03,1499.5750000
SPS/2605/00919-B01,1491.6656100
SPS/2606/00054-B01,1491.0120000
SPS/2605/01122-B01,1490.5704000
SPS/2604/00650-B05,1488.9023000
SPS/2606/00144-S01,1468.7821000
SPS/2604/00650-B04,1467.1665000
SPS/2605/00755-B01,1465.9788000
